Code,Name,ElectoralVotes,Lean
AL,Alabama,9,SafeR
AK,Alaska,3,SafeR
AZ,Arizona,11,TossUp
AR,Arkansas,6,SafeR
CA,California,54,SafeD,
CO,Colorado,10,LikelyD,
CT,Connecticut,7,SafeD
DE,Delaware,3,SafeD
DC,District of Columbia,3,SafeD
FL,Florida,30,LikelyR
GA,Georgia,16,LeansR
HI,Hawaii,4,SafeD
ID,Idaho,4,SafeR
IL,Illinois,19,LikelyD
IN,Indiana,11,SafeR
IA,Iowa,6,LikelyR
KS,Kansas,6,SafeR
KY,Kentucky,8,SafeR
LA,Louisiana,8,SafeR
ME,Maine,4,LikelyD
MD,Maryland,10,SafeD
MA,Massachusetts,11,SafeD
MI,Michigan,15,TossUp
MN,Minnesota,10,LeansD
MS,Mississippi,6,SafeR
MO,Missouri,10,SafeR
MT,Montana,4,SafeR
NE,Nebraska,5,SafeR
NV,Nevada,6,TossUp
NH,New Hampshire,4,LeansD
NJ,New Jersey,14,LikelyD
NM,New Mexico,5,LikelyD
NY,New York,28,SafeD
NC,North Carolina,16,LeansR
ND,North Dakota,3,SafeR
OH,Ohio,17,LikelyR
OK,Oklahoma,7,SafeR
OR,Oregon,8,LikelyD
PA,Pennsylvania,19,TossUp
RI,Rhode Island,4,SafeD
SC,South Carolina,9,SafeR
SD,South Dakota,3,SafeR
TN,Tennessee,11,SafeR
TX,Texas,40,LikelyR
UT,Utah,6,SafeR
VT,Vermont,3,SafeD
VA,Virginia,13,LikelyD
WA,Washington,12,SafeD
WV,West Virginia,4,SafeR
WI,Wisconsin,10,TossUp
WY,Wyoming,3,SafeR
